"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.903083275E-3,6.799463958E-1,5.951886660E-1,-7.995253180E-1,1.206572577E0
1.888308336E-2,5.221199588E-1,4.529463744E-1,-7.643540235E-1,1.030537114E0
2.886308334E-2,3.131787707E-1,3.429298425E-1,-6.166011697E-1,7.719318764E-1
3.884308331E-2,9.743507802E-2,1.113929665E-1,-4.347796601E-1,4.592769755E-1
4.882308329E-2,-1.047949684E-1,-6.457548022E-2,-2.584258819E-1,2.862445012E-1
5.880308338E-2,-2.393668824E-1,-1.393637073E-1,-5.821122453E-2,2.830323197E-1
6.878308335E-2,-2.852289337E-1,-2.631568640E-1,9.840630054E-2,4.003634345E-1
7.876308332E-2,-2.212143476E-1,-3.713145661E-1,1.476512584E-1,4.567397385E-1
8.874308330E-2,-2.304373071E-2,-3.630009949E-1,1.325022921E-1,3.871144446E-1
9.872308327E-2,3.542097062E-2,-1.760432911E-1,8.267904460E-2,1.976909455E-1
1.087030834E-1,5.348623574E-2,9.637380838E-3,1.049896806E-1,1.182222042E-1
1.186830833E-1,5.169026345E-2,2.957229316E-2,1.930095720E-1,2.019878678E-1
1.286630833E-1,-8.558131009E-3,-5.953634977E-3,1.942032811E-1,1.944829087E-1
1.386430833E-1,-1.210125133E-1,-1.220109254E-1,1.296283856E-2,1.723331932E-1
1.486220834E-1,-2.083099812E-1,-1.537472731E-1,-1.247313425E-1,2.873833330E-1
1.586020833E-1,-1.075025216E-1,-9.540609419E-2,-8.356109709E-2,1.662575469E-1
1.685820833E-1,7.565303028E-2,-8.375902534E-2,-7.530892164E-2,1.356848886E-1
1.785620833E-1,1.559475803E-1,-2.069446564E-2,-1.021707380E-1,1.875813648E-1
1.885420834E-1,1.649283189E-1,4.397047698E-2,-1.570585513E-1,2.319528869E-1
1.985220833E-1,1.828039149E-1,9.762452781E-2,-1.046853331E-1,2.321784630E-1
2.085020833E-1,2.492632218E-1,1.748481202E-1,-1.014404207E-2,3.046422828E-1
2.184820833E-1,2.777278331E-1,2.276999331E-1,5.580904216E-2,3.634482879E-1
2.284620834E-1,1.755920322E-1,2.294500047E-1,9.434014678E-2,3.039406681E-1
2.384420834E-1,4.238039978E-2,2.289681941E-1,1.752264351E-2,2.335156852E-1
2.484220833E-1,-5.612815395E-2,2.465893632E-1,-6.991223395E-2,2.623821720E-1
2.584020833E-1,-7.761645220E-2,2.273713195E-1,-9.541895807E-2,2.585088164E-1
2.683820833E-1,-5.696854502E-2,1.217039466E-1,-2.805286494E-1,3.110523893E-1
2.783620834E-1,-1.519284967E-1,4.162165046E-2,-5.057210040E-1,5.296870432E-1
2.883420833E-1,-2.365681127E-1,8.126869619E-2,-5.415305221E-1,5.965101670E-1
2.983220833E-1,-1.556004750E-1,8.528748751E-2,-5.176548788E-1,5.472221093E-1
3.083020833E-1,-6.262916140E-2,7.970281184E-2,-5.507086042E-1,5.599597457E-1
3.182820834E-1,-8.637521580E-2,1.104574120E-1,-6.133261442E-1,6.291505996E-1
3.282620833E-1,-6.405456640E-2,1.245000851E-1,-6.279243028E-1,6.433445335E-1
3.382420833E-1,7.700991321E-2,1.722104412E-1,-6.592183086E-1,6.856790366E-1
3.482220833E-1,3.216479875E-1,2.154026538E-1,-8.786087635E-1,9.601088951E-1
3.582020833E-1,3.488982417E-1,2.225678319E-1,-1.161479223E0,1.233004626E0
3.681810834E-1,2.047325451E-1,2.530394268E-1,-1.247700511E0,1.289457611E0
3.781610833E-1,-1.413181026E-1,2.632960278E-1,-1.260677529E0,1.295609291E0
3.881410833E-1,-9.666280702E-1,4.953404421E-1,-1.155925830E0,1.586157780E0
3.981210833E-1,-1.963139944E0,1.608562594E0,-7.761637911E-1,2.654020024E0
4.081010834E-1,-2.367951016E0,3.391646449E0,3.893924028E-2,4.136662170E0
4.180810833E-1,-1.700044622E0,5.306422464E0,9.926148507E-1,5.659819372E0
4.280610833E-1,7.651876172E-1,6.960603865E0,1.732204893E0,7.213601878E0
4.380410833E-1,4.531978047E0,8.093877289E0,2.120104794E0,9.515488370E0
