"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.028116676E-2,-1.700117420E0,-1.063558241E0,-1.492370818E0
2.026116662E-2,-1.430890123E0,-1.129816550E0,-1.550758774E0
3.024016670E-2,-1.058187135E0,-1.072608562E0,-1.555673359E0
4.021916678E-2,-1.021598549E0,-1.026074080E0,-1.588047638E0
5.019916664E-2,-9.940628406E-1,-8.343473876E-1,-1.664605817E0
6.017816672E-2,-6.112679974E-1,-5.700105554E-1,-1.861041273E0
7.015716657E-2,-9.288440935E-2,-4.700278455E-1,-1.910664838E0
8.013716666E-2,2.940395182E-1,-4.159948951E-1,-2.005894931E0
9.011616674E-2,4.800260726E-1,2.784034789E-1,-1.918791298E0
1.000951666E-1,3.440360626E-1,5.666250175E-1,-1.196826811E0
1.100751667E-1,7.537935135E-1,5.739884162E-1,-5.382595897E-1
1.200541668E-1,8.845246840E-1,2.355334479E-1,-1.381854934E-1
1.300331666E-1,1.372233048E0,8.011387110E-2,3.800690174E-4
1.400131667E-1,1.902305366E0,2.676293993E-1,-4.792793101E-1
1.499921668E-1,1.638501215E0,1.994491106E-1,-1.283147501E0
1.599711666E-1,1.951794153E0,5.597399211E-1,-1.110468113E0
1.699511667E-1,1.947943469E0,6.760427946E-1,-1.031223139E0
1.799301666E-1,1.617796225E0,9.963363111E-1,-8.911378849E-1
1.899091667E-1,1.478461461E0,1.782459372E0,-2.599075663E-1
1.998891667E-1,1.258783323E0,2.342054867E0,4.780274212E-1
2.098681666E-1,1.139063044E0,2.587571266E0,1.179797380E0
2.198471667E-1,8.154132262E-1,2.351719145E0,2.867045955E0
2.298271668E-1,1.017003733E0,2.773256616E0,3.889050958E0
2.398061666E-1,1.582679017E0,3.030190873E0,4.219793449E0
2.497851667E-1,1.241514303E0,2.644643599E0,4.922102521E0
2.597651668E-1,1.130404780E0,2.525972019E0,3.977594175E0
2.697441666E-1,1.123106943E0,2.567353933E0,2.926741934E0
2.797231667E-1,8.005569130E-1,3.058228272E0,2.482475166E0
2.897031666E-1,5.563327485E-1,3.200077046E0,2.906540388E0
2.996821667E-1,3.335271543E-1,2.758343292E0,3.745973684E0
3.096611667E-1,2.626168737E-1,2.079055878E0,4.136746030E0
3.196411666E-1,5.725754365E-1,1.285642508E0,3.701040171E0
3.296201667E-1,1.137027775E0,5.515134734E-1,3.050145666E0
3.395991668E-1,1.764980875E0,7.601321876E-2,1.933436235E0
3.495791666E-1,2.285107957E0,-3.227230346E-1,4.585807514E-1
3.595581667E-1,2.466697040E0,-9.221690583E-1,-5.474332863E-1
3.695371668E-1,2.402773816E0,-1.600739020E0,-3.892070460E-1
3.795171666E-1,2.168056055E0,-1.732923515E0,-1.803257918E-1
3.894961667E-1,1.569000625E0,-1.854020521E0,-7.895846128E-2
3.994751666E-1,1.055234437E0,-2.005699049E0,-2.496199751E-1
4.094551667E-1,5.365460631E-1,-2.008097577E0,-7.046193069E-1
4.194341667E-1,1.818076225E-1,-2.225628617E0,-1.303192341E0
4.294131666E-1,-5.149058104E-2,-2.734815851E0,-1.689734226E0
4.393931667E-1,-2.639421451E-1,-2.815748332E0,-1.850157850E0
4.493721668E-1,-6.281198922E-1,-2.216074267E0,-2.019530053E0
4.593511666E-1,-1.012426387E0,-1.961552571E0,-2.138734900E0
4.693311667E-1,-1.387985739E0,-1.929741379E0,-2.298927559E0
4.793101668E-1,-1.875187296E0,-1.651444319E0,-2.485699321E0
4.892891666E-1,-2.234482764E0,-1.166840535E0,-2.721600559E0
4.992691667E-1,-2.368752084E0,-7.045970875E-1,-2.936438372E0
5.092481666E-1,-2.277337592E0,-5.320475078E-1,-2.996959977E0
5.192271667E-1,-2.079876827E0,-4.905825627E-1,-2.897897619E0
5.292071667E-1,-1.977831219E0,-3.642903060E-1,-2.575808423E0
5.391861666E-1,-1.764675943E0,-3.678343034E-1,-2.193224518E0
5.491651667E-1,-1.424128987E0,-6.203083044E-1,-1.877035162E0
5.591451668E-1,-1.058667776E0,-8.423264980E-1,-1.538021784E0
5.691241666E-1,-7.715433213E-1,-9.904411483E-1,-1.263807836E0
5.791031667E-1,-5.984221762E-1,-1.084941509E0,-1.084854970E0
5.890831668E-1,-4.834676707E-1,-1.005415868E0,-8.949625486E-1
5.990621666E-1,-2.485437950E-1,-7.242525029E-1,-6.181471735E-1
6.090411667E-1,-6.978651881E-3,-3.855542904E-1,-2.051589167E-1
6.190211666E-1,2.609238124E-1,-1.180658090E-1,1.463885522E-1
