"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.657004356E-3,6.502522976E1,2.547043836E1,3.266962433E1,NaN,NaN,2.481097246E1,9.022975922E1
3.615045547E0,6.502579809E1,2.547020498E1,7.593559479E1,6.268401742E-1,NaN,3.200000000E1,5.267292786E1
4.615041971E0,6.502563850E1,2.547000637E1,4.066775127E1,1.067474127E0,NaN,2.400000000E1,4.928537369E1
5.615039349E0,6.502561354E1,2.546997209E1,2.694637722E1,1.067474127E0,NaN,2.400000000E1,3.769827271E1
6.615036249E0,6.502564034E1,2.546996591E1,3.150047916E1,1.619305253E0,NaN,2.400000000E1,5.994832993E1
7.615033269E0,6.502571703E1,2.546994399E1,3.982472533E1,1.619305253E0,NaN,2.400362482E1,9.339418030E1
8.615029931E0,6.502568291E1,2.547002218E1,3.980142659E1,2.203513384E0,3.397549537E1,1.600241655E1,6.973465729E1
1.003602064E1,6.502568434E1,2.547002150E1,3.399730744E1,2.203513384E0,1.674581897E1,1.200181241E1,3.541369629E1
1.103601730E1,6.502568957E1,2.547002599E1,3.283952955E1,1.660468459E0,7.571053813E0,8.001208274E0,3.071883583E1
1.203601289E1,6.502570777E1,2.546999860E1,3.033134774E1,1.660468459E0,2.904388363E1,8.001208274E0,2.791889381E1
1.303600991E1,6.502572659E1,2.547002125E1,2.988968270E1,1.382136345E0,2.245546779E1,8.001208274E0,2.599612999E1
1.403600895E1,6.502574198E1,2.547001183E1,2.808264028E1,1.534943700E0,2.889409076E1,8.001208274E0,2.491460228E1
1.503600562E1,6.502575407E1,2.547003305E1,2.626277893E1,1.534943700E0,1.740681052E1,8.001208274E0,2.386487961E1
1.603600299E1,6.502577567E1,2.547004219E1,2.456947791E1,1.534943700E0,1.398739499E1,8.001208274E0,2.281257820E1
1.703600192E1,6.502578685E1,2.547003397E1,2.260982643E1,1.649875641E0,3.594888728E1,8.001208274E0,2.194904137E1
1.803600025E1,6.502579356E1,2.547002126E1,1.915830135E1,2.018267870E0,1.889346950E1,8.001208274E0,2.089863205E1
1.903599668E1,6.502581381E1,2.546999648E1,1.802843725E1,2.060890675E0,2.425454987E1,6.000906205E0,2.053353119E1
