"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.236933331E-2,-1.159452578E0,9.457695901E-1,7.839888275E-2,1.498317985E0
3.234933340E-2,-1.073364387E0,1.540330265E0,7.004774317E-2,1.878732317E0
4.232833337E-2,-1.062664421E0,2.100796410E0,6.320189618E-2,2.355121167E0
5.230733333E-2,-9.947784667E-1,2.526136910E0,1.248181736E-1,2.717817408E0
6.228633341E-2,-8.909311127E-1,2.836096643E0,2.295734540E-1,2.981594604E0
7.226533338E-2,-8.345169568E-1,3.071242420E0,3.267330551E-1,3.199328530E0
8.224433335E-2,-8.212081093E-1,3.210554087E0,4.074281394E-1,3.338867771E0
9.222333331E-2,-7.702336181E-1,3.135809129E0,5.237987676E-1,3.271226662E0
1.022023334E-1,-6.574094725E-1,2.675891705E0,7.056092405E-1,2.844374805E0
1.121813334E-1,-4.919212827E-1,1.740417892E0,9.738081586E-1,2.054104018E0
1.221603333E-1,-2.162966931E-1,5.852150702E-1,1.218114184E0,1.368598956E0
1.321393334E-1,1.732367007E-1,-3.898221731E-1,1.405792265E0,1.469089573E0
1.421183334E-1,4.660292271E-1,-1.458900186E0,1.509637645E0,2.150483391E0
1.520983333E-1,6.901997077E-1,-2.829329075E0,1.605011580E0,3.325288081E0
1.620773333E-1,9.430169403E-1,-4.321892266E0,1.720780018E0,4.746484760E0
1.720563334E-1,1.155691356E0,-5.442881860E0,1.747801171E0,5.832271803E0
1.820353334E-1,1.263077226E0,-5.324383941E0,1.511808132E0,5.677146489E0
1.920143333E-1,1.071872178E0,-3.676686518E0,9.483407570E-1,3.945413021E0
2.019933334E-1,7.773779655E-1,-2.013703303E0,3.791545129E-1,2.191592033E0
2.119723334E-1,5.892636824E-1,-8.106983238E-1,-8.104240894E-2,1.005500538E0
2.219513333E-1,4.444606027E-1,1.212396777E-1,-4.554419661E-1,6.478207092E-1
2.319303333E-1,2.575174438E-1,9.330425406E-1,-2.331040028E0,2.524010941E0
2.419093334E-1,1.403042319E-1,1.342348221E0,-7.764980764E0,7.881402813E0
2.518893334E-1,3.347517074E-1,4.480668730E-1,-9.994425859E0,1.001006348E1
2.618683333E-1,3.886745840E-1,-6.807883948E-1,-9.334440104E0,9.367300189E0
2.718473334E-1,2.801318427E-1,-1.221065859E0,-8.113032768E0,8.209188533E0
2.818263334E-1,1.729025323E-1,-1.012988012E0,-6.679801859E0,6.758386854E0
2.918053333E-1,-2.041999733E-1,-4.149406421E-1,-5.432210691E0,5.451860816E0
3.017843333E-1,-6.207234567E-1,-3.010713798E-1,-4.769286125E0,4.818924333E0
3.117633334E-1,-8.078114804E-1,-1.123257143E0,-4.495846932E0,4.703924493E0
3.217423334E-1,-7.813879859E-1,-2.509822009E0,-4.278445115E0,5.021440660E0
3.317213333E-1,-8.313156062E-1,-3.693674433E0,-3.685109432E0,5.283403068E0
3.417003334E-1,-1.183571831E0,-4.123673995E0,-2.470152744E0,4.950473116E0
3.516793334E-1,-1.631665089E0,-3.787631003E0,-6.562961626E-1,4.176027326E0
3.616593333E-1,-1.807025279E0,-3.155667443E0,1.079780756E0,3.793349951E0
3.716383333E-1,-1.459252188E0,-2.360209887E0,2.657298728E0,3.842036464E0
3.816173334E-1,-6.410906245E-1,-1.456055515E0,4.588283225E0,4.856278185E0
3.915963334E-1,-3.964029220E-1,-4.617370784E-1,5.075791322E0,5.112141816E0
4.015753333E-1,-6.977125758E-1,5.883959556E-1,4.067937165E0,4.169067692E0
4.115543334E-1,-8.470985569E-1,1.481272802E0,3.062300273E0,3.505628053E0
4.215333334E-1,-6.713166364E-1,2.055024406E0,2.193494074E0,3.079806421E0
4.315123333E-1,-3.266811611E-1,2.430401033E0,1.242996426E0,2.749292614E0
4.414913334E-1,1.926964536E-1,2.564471841E0,5.535303243E-1,2.630597568E0
4.514703334E-1,7.813948564E-1,2.391706499E0,2.681720209E-1,2.530366403E0
4.614503334E-1,1.177219050E0,2.048493651E0,2.928086793E-1,2.380736830E0
4.714293333E-1,1.341460906E0,1.645647975E0,6.373839283E-1,2.216739247E0
4.814083334E-1,1.417721170E0,1.284751977E0,1.074464468E0,2.194309652E0
4.913873334E-1,1.237706596E0,1.265510545E0,1.270457435E0,2.178875089E0
5.013663333E-1,8.326299141E-1,1.630334702E0,1.439196385E0,2.328636950E0
5.113453334E-1,3.933154459E-1,2.302967400E0,1.485831292E0,2.768763354E0
5.213243334E-1,1.466763814E-1,3.020387431E0,1.393317961E0,3.329502836E0
5.313033334E-1,-1.420616126E-1,3.677603361E0,1.143110780E0,3.853783886E0
5.412823333E-1,-6.071156703E-1,3.762724788E0,9.092174757E-1,3.918336852E0
5.512613334E-1,-1.109327614E0,3.259125153E0,8.034774511E-1,3.535262442E0
5.612413334E-1,-1.354704703E0,2.609640412E0,9.773059630E-1,3.098479443E0
5.712203333E-1,-1.387164205E0,1.929591106E0,1.237289543E0,2.679259558E0
5.811993334E-1,-1.223920177E0,1.274087241E0,1.502010391E0,2.318903644E0
5.911783334E-1,-9.161147051E-1,6.902725786E-1,1.746475607E0,2.089478268E0
6.011573334E-1,-6.005053930E-1,2.255896729E-1,1.915509402E0,2.020067746E0
6.111363333E-1,-2.815482576E-1,-6.012282550E-2,1.904775084E0,1.926409171E0
6.211153334E-1,4.534793481E-2,1.606639445E-2,1.568770391E0,1.569507918E0
6.310943334E-1,3.960384943E-1,2.296733683E-1,7.908195448E-1,9.137789106E-1
6.410733333E-1,8.831621365E-1,3.326077527E-1,-3.376312418E-1,1.002296429E0
6.510523334E-1,1.468649541E0,2.356281728E-1,-1.693937205E0,2.254301525E0
6.610323334E-1,2.296775929E0,-3.223499823E-1,-2.792385782E0,3.629945941E0
6.710113334E-1,3.213885246E0,-1.207300344E0,-3.449015236E0,4.866450307E0
6.809903333E-1,3.921832788E0,-2.084817140E0,-3.911821185E0,5.918579214E0
6.909693334E-1,4.336537495E0,-2.647540895E0,-4.137758768E0,6.552562694E0
7.009483334E-1,4.598874872E0,-2.802089821E0,-3.877177894E0,6.635801826E0
7.109273333E-1,4.595753043E0,-2.388253133E0,-3.151980189E0,6.062976016E0
7.209063334E-1,4.351208744E0,-1.621997157E0,-2.240457741E0,5.155923118E0
7.308851250E-1,3.950718618E0,-8.859894115E-1,-1.365445307E0,4.272890792E0
7.408641251E-1,3.462163870E0,-2.461420512E-1,-7.288367931E-1,3.546599448E0
7.508431250E-1,2.848872809E0,2.717563641E-1,-3.244830465E-1,2.880141845E0
7.608231250E-1,2.151375118E0,5.175294560E-1,-8.350755852E-2,2.214322729E0
7.708021250E-1,1.447897919E0,6.465383291E-1,-3.111291389E-1,1.615927454E0
7.807811251E-1,5.307576120E-1,2.302534121E-1,-6.123403037E-1,8.424256192E-1
7.907601250E-1,-4.957463850E-1,-9.997089851E-1,-6.487263572E-1,1.290747233E0
8.007391250E-1,-1.094557986E0,-2.425967090E0,-6.573919308E-1,2.741448094E0
8.107181251E-1,-1.194970247E0,-3.133129935E0,-1.654921074E0,3.739414505E0
8.206971250E-1,-1.232191941E0,-3.509973044E0,-3.341313032E0,5.000258046E0
8.306761250E-1,-6.635595739E-1,-4.034723811E0,-3.592214717E0,5.442730391E0
8.406551250E-1,1.274587762E-1,-4.080752508E0,-2.312013627E0,4.691928578E0
8.506351251E-1,4.827577456E-1,-2.840963865E0,-6.507974410E-1,2.954262688E0
8.606141250E-1,4.799675274E-1,-1.115173953E0,1.003639483E0,1.575206013E0
8.705931250E-1,5.373618959E-1,-1.385053360E-1,2.184249626E0,2.253638828E0
8.805721251E-1,6.703220250E-1,1.807666719E-1,2.910755646E0,2.992408167E0
8.905511250E-1,7.807031308E-1,5.335058033E-1,3.137289644E0,3.276692255E0
9.005301250E-1,7.907941094E-1,1.105143639E0,3.000220385E0,3.293633274E0
9.105091250E-1,6.833812695E-1,1.850815077E0,2.736534348E0,3.373595507E0
9.204881251E-1,4.673682395E-1,2.708998055E0,2.497404277E0,3.714045188E0
9.304671250E-1,3.676550862E-1,3.542182431E0,2.399069313E0,4.293921309E0
9.404461250E-1,3.846614937E-1,4.175983186E0,2.303590128E0,4.784697223E0
9.504261251E-1,5.640624753E-1,4.443591535E0,2.200903666E0,4.990756371E0
9.604051250E-1,8.976370651E-1,4.344768913E0,2.264626622E0,4.981094553E0
9.703841250E-1,1.217740474E0,3.835591035E0,2.566904283E0,4.773221977E0
9.803631250E-1,1.529116475E0,3.020528349E0,3.028359525E0,4.542328711E0
9.903421251E-1,1.907300496E0,2.071905903E0,3.584285892E0,4.558255654E0
1.000321125E0,2.179462949E0,1.167970802E0,4.192429065E0,4.867306853E0
1.010300125E0,2.325855156E0,3.631115073E-1,4.677236917E0,5.236219758E0
1.020279125E0,2.326287704E0,-2.562197274E-1,4.987203666E0,5.509034710E0
1.030258125E0,2.110252674E0,-5.980239809E-1,5.041793271E0,5.498225024E0
1.040238125E0,1.632506942E0,-5.736720818E-1,4.746313584E0,5.051897783E0
1.050217125E0,1.078460016E0,-2.076860833E-1,4.270608677E0,4.409570045E0
1.060196125E0,4.426655075E-1,3.229171622E-1,3.749043472E0,3.788872550E0
1.070175125E0,-5.891142860E-2,6.945831460E-1,3.234293783E0,3.308560499E0
