"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.295963600E-2,6.499354090E1,2.548358980E1,NaN,NaN,NaN,NaN,3.002762035E-1,1.372267090E3,0.000000000E0,-1.000000000E0
1.095185833E0,6.499093803E1,2.548529156E1,8.853388343E0,2.632250977E1,1.289999962E0,1.750000000E2,3.014666569E-1,3.790092468E0,3.079312086E0,3.700000000E1
1.667962812E0,6.499092759E1,2.548529717E1,7.694138435E0,2.516326904E1,1.429999948E0,1.676999969E2,3.025072550E-1,4.164453506E0,2.685574770E0,3.700000000E1
2.667495937E0,6.499091830E1,2.548529984E1,8.663002205E0,2.613214111E1,1.389999986E0,1.808999939E2,3.047227350E-1,3.790092468E0,2.500000000E0,3.500000000E1
3.667146457E0,6.499089949E1,2.548531538E1,9.176901966E0,2.664605713E1,1.490000010E0,1.810000000E2,3.073439521E-1,3.790092468E0,2.500000000E0,3.700000000E1
4.666868332E0,6.499087599E1,2.548531099E1,1.079815722E1,2.826733398E1,1.360000014E0,1.836000061E2,3.087549642E-1,3.790092468E0,2.500000000E0,3.800000000E1
5.667727238E0,6.499086369E1,2.548530361E1,9.701099732E0,2.717028809E1,1.250000000E0,1.938000031E2,3.101886082E-1,3.790092468E0,2.500000000E0,3.800000000E1
6.667558279E0,6.499085126E1,2.548529551E1,9.597267189E0,2.706646729E1,1.409999967E0,1.921999969E2,3.116904684E-1,3.790092468E0,2.500000000E0,3.800000000E1
7.667381925E0,6.499083835E1,2.548528612E1,9.395777889E0,2.686499023E1,1.610000014E0,1.930000000E2,3.131517435E-1,3.790092468E0,2.500000000E0,3.800000000E1
8.667220778E0,6.499082607E1,2.548527505E1,9.347243172E0,2.681646729E1,1.500000000E0,1.978000031E2,3.145760753E-1,3.790092468E0,2.500000000E0,3.800000000E1
9.667449736E0,6.499081524E1,2.548525887E1,9.213504417E0,2.668273926E1,1.539999962E0,2.061000061E2,3.160178117E-1,3.790092468E0,2.500000000E0,3.800000000E1
1.066723974E1,6.499080642E1,2.548523639E1,9.498224177E0,2.696746826E1,1.509999990E0,2.213000031E2,3.175078347E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.166751890E1,6.499080036E1,2.548520812E1,9.884996913E0,2.735424805E1,1.460000038E0,2.361999969E2,3.190786910E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.266695942E1,6.499079784E1,2.548517524E1,9.539533846E0,2.700878906E1,1.350000024E0,2.505000000E2,3.207005168E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.366765593E1,6.499079845E1,2.548514077E1,8.912030081E0,2.638128662E1,1.399999976E0,2.577999878E2,3.222191070E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.466740895E1,6.499079931E1,2.548510853E1,8.766216118E0,2.623547363E1,1.279999971E0,2.610000000E2,3.238346918E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.566785307E1,6.499080140E1,2.548507452E1,9.165691263E0,2.663494873E1,1.360000014E0,2.602999878E2,3.255667704E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.666783088E1,6.499080167E1,2.548503768E1,9.020975146E0,2.649023438E1,1.429999948E0,2.607000122E2,3.273633449E-1,3.790092468E0,2.548322201E0,3.800000000E1
1.766734328E1,6.499080263E1,2.548499953E1,9.171730776E0,2.664099121E1,1.389999986E0,2.632999878E2,3.291343220E-1,3.790092468E0,2.537548304E0,3.800000000E1
1.866731265E1,6.499080501E1,2.548496228E1,9.286660109E0,2.675592041E1,1.399999976E0,2.652000122E2,3.308037738E-1,3.790092468E0,2.514565945E0,3.900000000E1
1.966737062E1,6.499080772E1,2.548492735E1,9.114846704E0,2.658410645E1,1.399999976E0,2.723999939E2,3.324777124E-1,3.790092468E0,2.630820274E0,3.800000000E1
2.066735452E1,6.499080960E1,2.548489202E1,8.522378227E0,2.599163818E1,1.360000014E0,2.662000122E2,3.340457649E-1,3.790092468E0,2.630187035E0,3.800000000E1
2.166727093E1,6.499080904E1,2.548485869E1,8.512732347E0,2.598199463E1,1.360000014E0,2.595000000E2,3.355124372E-1,3.790092468E0,2.786480904E0,3.800000000E1
2.266707510E1,6.499080755E1,2.548482769E1,8.355746882E0,2.582501221E1,1.340000033E0,2.610000000E2,3.367845025E-1,3.790092468E0,2.719503164E0,3.700000000E1
2.366755832E1,6.499080724E1,2.548480064E1,8.432039072E0,2.590130615E1,1.200000048E0,2.706000061E2,3.381109836E-1,3.790092468E0,2.860247374E0,3.700000000E1
2.466721864E1,6.499080682E1,2.548477244E1,9.024993696E0,2.649426270E1,1.220000029E0,2.716000061E2,3.394548566E-1,3.790092468E0,3.169217825E0,3.600000000E1
2.566750291E1,6.499080568E1,2.548474398E1,9.050137594E0,2.651940918E1,1.299999952E0,2.652000122E2,3.408991681E-1,3.790092468E0,3.470453024E0,3.600000000E1
2.666688457E1,6.499080491E1,2.548471331E1,7.968409149E0,2.543768311E1,1.190000057E0,2.703999939E2,3.424201606E-1,3.790092468E0,3.449998140E0,3.600000000E1
